filename,format,title,gbrq,sxrq,sxx,flxz,zdjgName,flfgCodeId,zdjgCodeId,bbbs,source
extra_民法典_中华人民共和国民法典_2020-05-28_ff808081.pdf,pdf,中华人民共和国民法典,2020-05-28,2021-01-01,3,法律,全国人民代表大会,120,100,ff808081729d1efe01729d50b5c500bf,https://flk.npc.gov.cn/detail?id=ff808081729d1efe01729d50b5c500bf
extra_刑法_中华人民共和国刑法_2020-12-26_ff808181.pdf,pdf,中华人民共和国刑法,2020-12-26,2021-03-01,3,法律,全国人民代表大会,160,100,ff808181796a636a0179822a19640c92,https://flk.npc.gov.cn/detail?id=ff808181796a636a0179822a19640c92
extra_宪法_中华人民共和国宪法（2018年修正文本）_2018-03-11_2c909fdd.pdf,pdf,中华人民共和国宪法（2018年修正文本）,2018-03-11,2018-03-11,3,宪法,全国人民代表大会,100,100,2c909fdd678bf17901678bf5a483004b,https://flk.npc.gov.cn/detail?id=2c909fdd678bf17901678bf5a483004b
